,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
162,1.007777778,55993.42177,29201.837,0.000430315,1.25,611755.2,2.015555556,0.369114416,0.209870833,0.4,1.755169123,0.922107396,4
163,1.093714286,83084.76535,51908.2011,0.000242081,1,968507,1.914,0.263204732,0.276304167,0.5,2.11677734,0.901404802,4
164,1.093714286,88864.88394,55519.39934,0.000226335,1,1035885,1.914,0.234025902,0.222420833,0.5,2.13569779,0.909942615,4
165,1.093714286,84503.93038,52794.84144,0.000238016,1,985050,1.914,0.257165995,0.205004167,0.5,2.092190997,0.918243734,4
166,0.005205437,249.3747577,0.497532127,25.25666048,1.139742578,786831.1818,2.174277503,0.303334654,0.1699875,0.875675696,1.898970895,0.929107257,4
167,1.093714286,80105.74551,50047.02282,0.000251084,1,933781,1.914,0.286306962,0.1842875,0.5,1.946352628,0.92363935,4
168,0.004684679,261.26794,0.539151293,23.3070015,1.122070972,895183.1257,2.033395207,0.261824166,0.1953625,0.889619645,1.983321157,0.92112816,4
169,1.093714286,58371.66575,36468.39649,0.000344572,1,680430,1.914,0.426358715,0.157958333,0.5,1.546411908,0.937212285,4
170,1.093714286,59860.66095,37398.66405,0.000336001,1,697787,1.914,0.410135678,0.2066375,0.5,1.676280199,0.927444082,4
171,0.00424903,259.4163737,0.717396829,17.51610753,0.977122463,940178.9798,1.839005336,0.305445702,0.2910625,1.021557938,1.844862929,0.896989571,5
172,0.004090806,259.8570151,0.786396505,15.9792165,1.031785547,876897.3382,1.768379952,0.305656399,0.2728375,0.96736198,1.886826013,0.902933893,5
173,0.004318085,253.2584488,0.676892097,18.56425871,0.960572327,925163.0255,1.852780455,0.3267201,0.21799375,1.039183962,1.702025383,0.912944421,5
174,0.004288549,237.9147361,0.789947751,15.9073812,0.939974977,843562.8816,1.775043259,0.36282854,0.318066667,1.061795092,1.721572095,0.898644769,5
175,0.004198921,250.9486909,0.717081737,17.52380426,0.989954902,903377.516,1.823768715,0.300186701,0.45345,1.008294898,2.022186543,0.867295632,5
176,0.004295492,244.9598106,0.758374008,16.5696607,0.962972971,850220.125,1.773177244,0.353752602,0.259320833,1.036488051,1.689283168,0.907151719,5
177,0.004307938,258.0987408,0.653813766,19.21954025,0.98557345,960380.984,1.877539127,0.284573176,0.327525,1.01286403,1.959442744,0.884699074,5
